Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
180,2014,7,4,0,0,1.06368,1.06575,1.06292,1.06516,9998,32.39970789,-0.00614301,-0.00558257,60.3427896,60.3427896
181,2014,7,6,0,0,1.06469,1.06535,1.06469,1.06518,1266,32.50481736,-0.00600433,-0.0057777,49.91055456,49.91055456
182,2014,7,7,0,0,1.06519,1.06832,1.06301,1.06823,14489,47.13047276,-0.00558395,-0.00587334,43.26113117,43.26113117
183,2014,7,8,0,0,1.0682,1.06929,1.06609,1.0671,15142,43.09414672,-0.00528109,-0.00587522,40.25110783,40.25110783
184,2014,7,9,0,0,1.06709,1.06824,1.064,1.06484,16101,35.91686972,-0.00516392,-0.00582508,45.69789675,45.69789675
185,2014,7,10,0,0,1.06485,1.06746,1.06434,1.06483,17853,35.88601618,-0.00501406,-0.00573935,42.61796043,42.61796043
186,2014,7,11,0,0,1.06482,1.07352,1.06297,1.07327,15350,65.26596429,-0.00416624,-0.00552009,26.19392185,26.19392185
187,2014,7,13,0,0,1.07351,1.07356,1.07261,1.07277,1148,63.26233297,-0.0034944,-0.00523107,24.16267943,24.16267943
188,2014,7,14,0,0,1.07276,1.07459,1.0709,1.07148,14524,57.91103791,-0.00303111,-0.00487579,26.08286252,26.08286252
189,2014,7,15,0,0,1.07149,1.07681,1.07147,1.07584,16852,68.43834025,-0.00228578,-0.00444721,34.28571429,34.28571429
190,2014,7,16,0,0,1.07583,1.07928,1.07221,1.07365,17504,59.68948684,-0.00185049,-0.00398567,40.46296296,40.46296296
191,2014,7,17,0,0,1.07366,1.0765,1.07268,1.07616,15812,65.57404737,-0.00128814,-0.00350836,52.23725286,52.23725286
192,2014,7,18,0,0,1.07617,1.07617,1.07072,1.07321,14451,54.63747119,-0.00106819,-0.00304026,65.40880503,65.40880503
193,2014,7,20,0,0,1.07326,1.07384,1.07302,1.07383,1082,56.41967087,-0.00083424,-0.00255918,62.4872579,62.4872579
194,2014,7,21,0,0,1.0738,1.07507,1.0725,1.07384,12003,56.45186552,-0.00064064,-0.00207325,59.18762089,59.18762089
195,2014,7,22,0,0,1.07383,1.07581,1.07296,1.07384,15660,56.45186552,-0.00048165,-0.00166385,65.28599606,65.28599606
196,2014,7,23,0,0,1.07385,1.07444,1.07091,1.07303,17215,52.20033644,-0.00041622,-0.00132183,77.1291866,77.1291866
197,2014,7,24,0,0,1.07302,1.07505,1.07167,1.07437,16039,58.26655022,-0.00025332,-0.00101319,67.46806912,67.46806912
198,2014,7,25,0,0,1.07436,1.08199,1.07371,1.08109,17668,76.04985055,0.00041327,-0.00071329,65.60150376,65.60150376
199,2014,7,27,0,0,1.08152,1.08157,1.08078,1.08106,1310,75.88144267,0.00092842,-0.00040452,62.95690125,62.95690125
200,2014,7,28,0,0,1.08104,1.08171,1.07956,1.07975,14871,68.18882576,0.00121694,-0.00012618,70.26732133,70.26732133
201,2014,7,29,0,0,1.07976,1.08645,1.07962,1.08504,17566,78.47113765,0.00185112,0.00019819,69.88543372,69.88543372
202,2014,7,30,0,0,1.08503,1.09154,1.08489,1.0907,19802,84.66033668,0.0027784,0.00059959,71.41033823,71.41033823
203,2014,7,31,0,0,1.09071,1.09281,1.08754,1.09053,18387,83.81599245,0.00345968,0.00105518,72.11838006,72.11838006
204,2014,8,1,0,0,1.09054,1.09424,1.08836,1.09144,23472,84.76490044,0.00402661,0.0015561,74.80620155,74.80620155
205,2014,8,3,0,0,1.09167,1.09241,1.09163,1.0922,1252,85.58823115,0.00448552,0.00210074,61.09422492,61.09422492
206,2014,8,4,0,0,1.09221,1.09326,1.09031,1.09055,14402,75.28330607,0.00466233,0.00264692,44.73963868,44.73963868
207,2014,8,5,0,0,1.09054,1.09752,1.09051,1.0962,20002,83.31077022,0.00519844,0.00317861,25.81018519,25.81018519
208,2014,8,6,0,0,1.09619,1.09847,1.09112,1.09171,17969,64.03027976,0.00520104,0.00365334,28.36879433,28.36879433
209,2014,8,7,0,0,1.09172,1.0937,1.09024,1.09313,17812,66.86008839,0.00525709,0.00410225,43.35403727,43.35403727
210,2014,8,8,0,0,1.09312,1.09826,1.09086,1.09713,18105,73.66810439,0.00556018,0.00451437,53.59116022,53.59116022
211,2014,8,10,0,0,1.09692,1.09718,1.09669,1.09706,1194,73.36041266,0.0057287,0.00484218,57.2972973,57.2972973
212,2014,8,11,0,0,1.09705,1.0976,1.09173,1.09265,14396,56.12930078,0.00544365,0.00506262,45.42032622,45.42032622
213,2014,8,12,0,0,1.09266,1.09516,1.09127,1.09257,15893,55.85165837,0.0051519,0.00518765,34.45190157,34.45190157
214,2014,8,13,0,0,1.09256,1.09389,1.09053,1.09138,17977,51.43626545,0.00476968,0.00521922,35.12304251,35.12304251
215,2014,8,14,0,0,1.09137,1.09198,1.0886,1.09059,16258,48.46856304,0.00435285,0.00518484,34.52914798,34.52914798
216,2014,8,15,0,0,1.0906,1.09176,1.08591,1.08958,18537,44.62796321,0.0038961,0.00504013,45.38288288,45.38288288
217,2014,8,17,0,0,1.08851,1.08933,1.08846,1.08923,899,43.24266021,0.00346592,0.00484734,60.74270557,60.74270557
218,2014,8,18,0,0,1.08924,1.0898,1.08742,1.08902,13513,42.3230315,0.00307264,0.00460462,81.34328358,81.34328358
219,2014,8,19,0,0,1.08901,1.09481,1.08878,1.09383,17366,63.22310295,0.0031132,0.00433274,88.7424492,88.7424492
220,2014,8,20,0,0,1.09388,1.09724,1.09309,1.09686,19726,70.95746092,0.00335121,0.00406857,90.2173913,90.2173913
221,2014,8,21,0,0,1.09685,1.09851,1.09386,1.09444,15700,59.33093634,0.00330644,0.0038311,89.10025707,89.10025707
